000000	Xerox 
000059	Hellige
00005A	SysKonnect
00005B	Eltec Elektronik AG
00005C	Telematics International
00005D	CS Telecom
00005E	ICANNIANA Department
00005F	Sumitomo Electric Industries
000060	Kontron Elektronik
000061	Gateway Communications
000062	Bull HN Information Systems
000063	Barco Control Rooms
000064	Yokogawa Digital Computer 
000065	Network General 
000066	Talaris Systems
000067	Soft * Rite
000068	Rosemount Controls
000069	Concord Communications Inc
00006A	Computer Consoles
00006B	Silicon Graphics/Mips
00006C	Private
00006D	Cray Communications
00006E	Artisoft
00006F	Madge
000070	HCL Limited
000071	Adra Systems
000072	Miniware Technology
000073	Siecor 
000074	Ricoh Company
000075	Nortel Networks
000076	Abekas Video System
000077	Interphase 
000078	Labtam Limited
000079	Networth Incorporated
00007A	Dana Computer
00007B	Research Machines
00007C	Ampere Incorporated
00007D	Oracle 
00007E	Clustrix 
00007F	Linotype-Hell AG
000080	Cray Communications A/S
000081	Bay Networks
000082	Lectra Systemes SA
000083	Tadpole Technology PLC
000084	Supernet
000085	Canon
000086	Megahertz 
000087	Hitachi
000088	Brocade Communications Systems
000089	Cayman Systems
00008A	Datahouse Information Systems
00008B	Infotron
00008C	Alloy Computer Products (Australia) Pty
00008D	Cryptek
00008E	Solbourne Computer
00008F	Raytheon
000090	Microcom
000091	Anritsu 
000092	Cogent Data Technologies
000093	Proteon
000094	Asante Technologies
000095	Sony Tektronix.
000096	Marconi Electronics
000097	Dell EMC
000098	Crosscomm 
000099	MTX
00009A	RC Computer A/S
00009B	Information InternationalInc
00009C	Rolm MIL-Spec Computers
00009D	Locus Computing 
00009E	Marli S.A.
00009F	Ameristar Technologies
0000A0	SANYO Electric
0000A1	Marquette Electric
0000A2	Bay Networks
0000A3	Network Application Technology
0000A4	Acorn Computers Limited
0000A5	Tattile SRL 
0000A6	Network General 
0000A7	Network Computing Devices
0000A8	Stratus Technologies
0000A9	Network Systems.
0000AA	Xerox 
0000AB	Logic Modeling 
0000AC	Conware Computer Consulting
0000AD	Bruker Instruments
0000AE	Dassault Electronique
0000AF	Canberra Industries
0000B0	RND-RAD Network Devices
0000B1	Alpha Micro
0000B2	Televideo Systems
0000B3	Cimlinc Incorporated
0000B4	Edimax Technology
0000B5	Datability Software Sys.
0000B6	Micro-Matic Research
0000B7	Dove Computer 
0000B8	Seikosha
0000B9	Mcdonnell Douglas Computer Sys
0000BA	Siig
0000BB	TRI-Data
0000BC	Rockwell Automation
0000BD	Mitsubishi Cable Company
0000BE	THE NTI Group
0000BF	Symmetric Computer Systems
0000C0	Western Digital 
0000C1	Madge
0000C2	Information Presentation Tech.
0000C3	Harris Computer Sys Div
0000C4	Waters Div. Of Millipore
0000C5	ARRIS Group
0000C6	EON Systems
0000C7	Arix 
0000C8	Altos Computer Systems
0000C9	Emulex 
0000CA	ARRIS Group
0000CB	Compu-Shack Electronic
0000CC	Densan
0000CD	Allied Telesis Labs
0000CE	Megadata.
0000CF	Hayes Microcomputer Products
0000D0	Develcon Electronics
0000D1	Adaptec Incorporated
0000D2	SBE
0000D3	Wang Laboratories
0000D4	Pure Data
0000D5	Micrognosis International
0000D6	Punch Line Holding
0000D7	Dartmouth College
0000D8	Novell
0000D9	Nippon Telegraph & Telephone
0000DA	Atex
0000DB	British Telecommunications plc
0000DC	Hayes Microcomputer Products
0000DD	TCL Incorporated
0000DE	Cetia
0000DF	Bell & Howell Pub Sys Div
0000E0	Quadram.
0000E1	Grid Systems
0000E2	Acer Technologies.
0000E3	Integrated Micro Products
0000E4	IN2 Groupe Intertechnique
0000E5	Sigmex
0000E6	Aptor Produits de Comm Indust
0000E7	Star Gate Technologies
0000E8	Accton Technology.
0000E9	Isicad
0000EA	Upnod AB
0000EB	Matsushita Comm. Ind.
0000EC	Microprocess
0000ED	April
0000EE	Network Designers
0000EF	KTI
0000F0	Samsung Electronics
0000F1	Magna Computer 
0000F2	Spider Communications
0000F3	Gandalf Data Limited
0000F4	Allied Telesis
0000F5	Diamond Sales Limited
0000F6	Applied Microsystems.
0000F7	Youth Keep Enterprise Co
0000F8	Digital Equipment 
0000F9	Quotron Systems
0000FA	Microsage Computer Systems Inc
0000FB	Rechner ZUR Kommunikation
0000FC	Meiko
0000FD	High Level Hardware
0000FE	Annapolis Micro Systems
0000FF	Camtec Electronics
000100	Equip'Trans
000101	Private
000102	3Com 
000103	3Com 
000104	DVICO
000105	Beckhoff Automation
000106	Tews Datentechnik
000107	Leiser
000108	AVLAB Technology
000109	Nagano Japan Radio
00010A	CIS Technology
00010B	Space CyberLink
00010C	System Talks
00010D	Teledyne DALSA
00010E	Bri-Link Technologies
00010F	Brocade Communications Systems
000110	Gotham Networks
000111	iDigm
000112	Shark Multimedia
000113	Olympus 
000114	Kanda Tsushin Kogyo
000115	Extratech 
000116	Netspect Technologies
000117	Canal +
000118	EZ Digital
000119	RTUnet (Australia)
00011A	Hoffmann und Burmeister GbR
00011B	Unizone Technologies
00011C	Universal Talkware 
00011D	Centillium Communications
00011E	Precidia Technologies
00011F	RC Networks
000120	Oscilloquartz S.A.
000121	Watchguard Technologies
000122	Trend Communications
000123	Schneider Electric Japan Holdings
000124	Acer Incorporated
000125	Yaesu Musen
000126	PAC Labs
000127	OPEN Networks Pty
000128	EnjoyWeb
000129	DFI
00012A	Telematica Sistems Inteligente
00012B	TELENET
00012C	Aravox Technologies
00012D	Komodo Technology
00012E	PC Partner
00012F	Twinhead International
000130	Extreme Networks
000131	Bosch Security Systems
000132	Dranetz - BMI
000133	KYOWA Electronic Instruments C
000134	Selectron Systems AG
000135	KDC.
000136	CyberTAN Technology
000137	IT Farm 
000138	XAVi Technologies.
000139	Point Multimedia Systems
00013A	Shelcad Communications
00013B	BNA Systems
00013C	TIW Systems
00013D	RiscStation
00013E	Ascom Tateco AB
00013F	Neighbor World
000140	Sendtek 
000141	Cable Print
000142	Cisco Systems
000143	Cisco Systems
000144	Dell EMC
000145	Winsystems
000146	Tesco Controls
000147	Zhone Technologies
000148	X-traWeb
000149	TDT AG
00014A	Sony 
00014B	Ennovate Networks
00014C	Berkeley Process Control
00014D	Shin Kin Enterprises
00014E	WIN Enterprises
00014F	Adtran Inc
000150	Gilat Communications
000151	Ensemble Communications
000152	Chromatek
000153	Archtek Telecom 
000154	G3M 
000155	Promise Technology
000156	Firewiredirect.com
000157	Syswave
000158	Electro Industries/Gauge Tech
000159	S1 
00015A	Digital Video Broadcasting
00015B	ITALTEL S.p.A/RF-UP-I
00015C	Cadant
00015D	Oracle  
00015E	Best Technology
00015F	DIGITAL DESIGN
000160	ELMEX
000161	Meta Machine Technology
000162	Cygnet Technologies
000163	Cisco Systems
000164	Cisco Systems
000165	AirSwitch 
000166	TC Group A/S
000167	Hioki E.E. 
000168	Vitana 
000169	Celestix Networks Pte
00016A	Alitec
00016B	LightChip
00016C	Foxconn
00016D	CarrierComm
00016E	Conklin 
00016F	Inkel.
000170	ESE Embedded System Engineer'g
000171	Allied Data Technologies
000172	TechnoLand
000173	AMCC
000174	CyberOptics 
000175	Radiant Communications.
000176	Orient Silver Enterprises
000177	EDSL
000178	MARGI Systems
000179	Wireless Technology
00017A	Chengdu Maipu Electric Industrial
00017B	Heidelberger Druckmaschinen AG
00017C	AG-E
00017D	ThermoQuest
00017E	ADTEK System Science
00017F	Experience Music Project
000180	AOpen
000181	Nortel Networks
000182	Dica Technologies AG
000183	Anite Telecoms
000184	Sieb & Meyer AG
000185	Hitachi Aloka Medical
000186	Uwe Disch
000187	I2SE
000188	LXCO Technologies ag
000189	Refraction Technology
00018A	ROI Computer AG
00018B	NetLinks
00018C	Mega Vision
00018D	AudeSi Technologies
00018E	Logitec 
00018F	Kenetec
000190	SMK-M
000191	SYRED Data Systems
000192	Texas Digital Systems
000193	Hanbyul Telecom
000194	Capital Equipment 
000195	Sena Technologies
000196	Cisco Systems
000197	Cisco Systems
000198	Darim Vision
000199	HeiSei Electronics
00019A	LEUNIG
00019B	Kyoto Microcomputer
00019C	JDS Uniphase
00019D	E-Control Systems
00019E	ESS Technology
00019F	ReadyNet
0001A0	Infinilink 
0001A1	Mag-Tek
0001A2	Logical
0001A3	Genesys Logic
0001A4	Microlink 
0001A5	Nextcomm
0001A6	Scientific-Atlanta Arcodan A/S
0001A7	Unex Technology 
0001A8	Welltech Computer
0001A9	BMW AG
0001AA	Airspan Communications
0001AB	Main Street Networks
0001AC	Sitara Networks
0001AD	Coach Master International  d.b.a. CMI Worldwide
0001AE	Trex Enterprises
0001AF	Artesyn Embedded Technologies
0001B0	Fulltek Technology
0001B1	General Bandwidth
0001B2	Digital Processing Systems
0001B3	Precision Electronic Manufacturing
0001B4	Wayport
0001B5	Turin Networks
0001B6	SAEJIN T&M
0001B7	Centos
0001B8	Netsensity
0001B9	SKF (U.K.) Limited
0001BA	IC-Net
0001BB	Frequentis
0001BC	Brains 
0001BD	Peterson Electro-Musical Products
0001BE	Gigalink
0001BF	Teleforce
0001C0	CompuLab
0001C1	Vitesse Semiconductor 
0001C2	ARK Research.
0001C3	Acromag
0001C4	NeoWave
0001C5	Simpler Networks
0001C6	Quarry Technologies
0001C7	Cisco Systems
0001C8	Thomas Conrad.
0001C8	Conrad.
0001C9	Cisco Systems
0001CA	Geocast Network Systems
0001CB	EVR
0001CC	Japan Total Design Communication
0001CD	ARtem
0001CE	Custom Micro Products
0001CF	Alpha Data Parallel Systems
0001D0	VitalPoint
0001D1	CoNet Communications
0001D2	inXtron
0001D3	PAXCOMM
0001D4	Leisure Time
0001D5	Haedong Info & Comm
0001D6	manroland AG
0001D7	F5 Networks
0001D8	Teltronics
0001D9	Sigma
0001DA	WINCOMM 
0001DB	Freecom Technologies
0001DC	Activetelco
0001DD	Avail Networks
0001DE	Trango Systems
0001DF	ISDN Communications
0001E0	Fast Systems
0001E1	Kinpo Electronics
0001E2	Ando Electric 
0001E3	Siemens AG
0001E4	Sitera
0001E5	Supernet
0001E6	Hewlett-Packard Company
0001E7	Hewlett-Packard Company
0001E8	Force10 Networks
0001E9	Litton Marine Systems B.V.
0001EA	Cirilium.
0001EB	C-CoM 
0001EC	Ericsson Group
0001ED	SETA.
0001EE	Comtrol Europe
0001EF	Camtel Technology.
0001F0	Tridium
0001F1	Innovative Concepts
0001F2	Mark Of the Unicorn
0001F3	QPS
0001F4	Enterasys
0001F5	Erim S.A.
0001F6	Association Of Musical Electronics Industry
0001F7	Image Display Systems
0001F8	Texio Technology 
0001F9	TeraGlobal Communications.
0001FA	Horoscas
0001FB	DoTop Technology
0001FC	Keyence 
0001FD	Digital Voice Systems
0001FE	Digital Equipment 
0001FF	Data Direct Networks
000200	Net & Sys
000201	IFM Electronic
000202	Amino Communications
000203	Woonsang Telecom
000204	Bodmann Industries Elektronik
000205	Hitachi Denshi
000206	Telital R&D Denmark A/S
000207	VisionGlobal Network.
000208	Unify Networks
000209	Shenzhen SED Information Technology
00020A	Gefran Spa
00020B	Native Networks
00020C	Metro-Optix
00020D	Micronpc.com
00020E	ECI Telecom
00020F	Aatr
000210	Fenecom
000211	Nature Worldwide Technology.
000212	SierraCom
000213	S.D.E.L.
000214	Dtvro
000215	Cotas Computer Technology A/B
000216	Cisco Systems
000217	Cisco Systems
000218	Advanced Scientific
000219	Paralon Technologies
00021A	Zuma Networks
00021B	Kollmorgen-Servotronix
00021C	Network Elements
00021D	Data General Communication
00021E	Simtel S.R.L.
00021F	Aculab PLC
000220	Canon Finetech
000221	DSP Application
000222	Chromisys
000223	ClickTV
000224	C-CoR
000225	One Stop Systems
000226	XESystems
000227	ESD Electronic System Design
000228	Necsom
000229	Adtec 
00022A	Asound Electronic
00022B	SAXA
00022C	ABB Bomem
00022D	Agere Systems
00022E	TEAC. R& D
00022F	P-Cube
000230	Intersoft Electronics
000231	Ingersoll-Rand
000232	Avision
000233	Mantra Communications
000234	Imperial Technology
000235	Paragon Networks International
000236	INIT
000237	Cosmo Research.
000238	Serome Technology
000239	Visicom
00023A	ZSK Stickmaschinen
00023B	Ericsson
00023C	Creative Technology
00023D	Cisco Systems
00023E	Selta Telematica S.p.a
00023F	Compal Electronics
000240	Seedek
000241	Amer.com
000242	Videoframe Systems
000243	Raysis
000244	SURECOM Technology
000245	Lampus Co
000246	All-Win Tech
000247	Great Dragon Information Technology (Group)
000248	Pilz &
000249	Aviv Infocom Co
00024A	Cisco Systems
00024B	Cisco Systems
00024C	SiByte
00024D	Mannesman Dematic Colby Pty.
00024E	Datacard Group
00024F	IPM Datacom S.R.L.
000250	Geyser Networks
000251	Soma Networks
000252	Carrier 
000253	Televideo
000254	WorldGate
000255	IBM
000256	Alpha Processor
000257	Microcom.
000258	Flying Packets Communications
000259	Tsann Kuen China (Shanghai)Enterprise IT Group
00025A	Catena Networks
00025B	Cambridge Silicon Radio
00025C	SCI Systems (Kunshan)
00025D	Calix Networks
00025E	High Technology
00025F	Nortel Networks
000260	Accordion Networks
000261	Tilgin AB
000262	Soyo Group Soyo Com Tech
000263	UPS Manufacturing SRL
000264	AudioRamp.com
000265	Virditech
000266	Thermalogic 
000267	Node Runner
000268	Harris Government Communications
000269	Nadatel
00026A	Cocess Telecom
00026B	BCM Computers
00026C	Philips CFT
00026D	Adept Telecom
00026E	NeGeN Access
00026F	Senao International
000270	Crewave
000271	Zhone Technologies
000272	CC&C Technologies
000273	Coriolis Networks
000274	Tommy Technologies.
000275	SMART Technologies
000276	Primax Electronics
000277	Cash Systemes Industrie
000278	Samsung Electro Mechanics
000279	Control Applications
00027A	IOI Technology 
00027B	Amplify Net
00027C	Trilithic
00027D	Cisco Systems
00027E	Cisco Systems
00027F	ask-technologies.com
000280	Mu Net
000281	Madge
000282	ViaClix
000283	Spectrum Controls
000284	UK Grid Solutions Limited
000285	Riverstone Networks
000286	Occam Networks
000287	Adapcom
000288	Global Village Communication
000289	DNE Technologies
00028A	Ambit Microsystems 
00028B	VDSL Systems Oy
00028C	Micrel-Synergy Semiconductor
00028D	Movita Technologies
00028E	Rapid 5 Networks
00028F	Globetek
000290	Woorigisool
000291	Open Network
000292	Logic Innovations
000293	Solid Data Systems
000294	Tokyo Sokushin
000295	IP.Access Limited
000296	Lectron Co.
000297	C-CoR.net
000298	Broadframe 
000299	Apex
00029A	Storage Apps
00029B	Kreatel Communications AB
00029C	3Com 
00029D	Merix.
00029E	Information Equipment
00029F	L-3 Communication Aviation Recorders
0002A0	Flatstack
0002A1	World Wide Packets
0002A2	Hilscher
0002A3	ABB SwitzerlandPower Systems
0002A4	AddPac Technology
0002A5	Hewlett-Packard Company
0002A6	Effinet Systems
0002A7	Vivace Networks
0002A8	Air Link Technology
0002A9	RACOMs.r.o.
0002AA	PLcom
0002AB	CTC Union Technologies
0002AC	3PAR data
0002AD	HOYA 
0002AE	Scannex Electronics
0002AF	TeleCruz Technology
0002B0	Hokubu Communication & Industrial
0002B1	Anritsu
0002B2	Cablevision
0002B3	Intel 
0002B4	Daphne
0002B5	Avnet
0002B6	Acrosser Technology
0002B7	Watanabe Electric Industry
0002B8	WHI Konsult AB
0002B9	Cisco Systems
0002BA	Cisco Systems
0002BB	Continuous Computing
0002BC	LVL 7 Systems
0002BD	Bionet
0002BE	Totsu Engineering
0002BF	dotRocket
0002C0	Bencent Tzeng Industry
0002C1	Innovative Electronic Designs
0002C2	Net Vision Telecom
0002C3	Arelnet
0002C4	Vector International BVBA
0002C5	Evertz Microsystems
0002C6	Data Track Technology PLC
0002C7	Alps Electric
0002C8	Technocom Communications Technology (pte)
0002C9	Mellanox Technologies
0002CA	EndPoints
0002CB	TriState
0002CC	M.C.C.I
0002CD	TeleDream
0002CE	FoxJet
0002CF	ZyGate Communications
0002D0	Comdial 
0002D1	Vivotek
0002D2	Workstation AG
0002D3	NetBotz
0002D4	PDA Peripherals
0002D5	ACR
0002D6	NICE Systems
0002D7	EMPEG
0002D8	BRECIS Communications 
0002D9	Reliable Controls
0002DA	ExiO Communications
0002DB	Netsec
0002DC	Fujitsu General Limited
0002DD	Bromax Communications
0002DE	Astrodesign
0002DF	Net Com Systems
0002E0	ETAS
0002E1	Integrated Network 
0002E2	NDC Infared Engineering
0002E3	LITE-ON Communications
0002E4	JC HYUN Systems
0002E5	Timeware
0002E6	Gould Instrument Systems
0002E7	CAB & Co KG
0002E8	E.D.&A.
0002E9	CS Systemes de Securite - C3S
0002EA	Focus Enhancements
0002EB	Pico Communications
0002EC	Maschoff Design Engineering
0002ED	DXO Telecom
0002EE	Nokia Danmark A/S
0002EF	CCC Network Systems Group
0002F0	AME Optimedia Technology
0002F1	Pinetron
0002F2	eDevice
0002F3	Media Serve
0002F4	PCTEL
0002F5	VIVE Synergies
0002F6	Equipe Communications
0002F7	ARM
0002F8	SEAKR Engineering
0002F9	MIMOS Berhad
0002FA	DX Antenna
0002FB	Baumuller Aulugen-Systemtechnik
0002FC	Cisco Systems
0002FD	Cisco Systems
0002FE	Viditec
0002FF	Handan BroadInfoCom
000300	Barracuda Networks
000301	Exfo
000302	Charles Industries
000303	JAMA Electronics
000304	Pacific Broadband Communications
000305	MSC Vertriebs
000306	Fusion In Tech
000307	Secure Works
000308	AM Communications
000309	Texcel Technology PLC
00030A	Argus Technologies
00030B	Hunter Technology
00030C	Telesoft Technologies
00030D	Uniwill Computer.
00030E	Core Communications
00030F	Digital China (Shanghai) Networks
000310	E-Globaledge 
000311	Micro Technology
000312	TR-Systemtechnik
000313	Access Media SPA
000314	Teleware Network Systems
000315	Cidco Incorporated
000316	Nobell Communications
000317	Merlin Systems
000318	Cyras Systems
000319	Infineon AG
00031A	Beijing Broad TelecomChina
00031B	Cellvision Systems
00031C	Svenska Hardvarufabriken AB
00031D	Taiwan Commate Computer
00031E	Optranet
00031F	Condev
000320	Xpeed
000321	Reco Research
000322	IDIS
000323	Cornet Technology
000324	SANYO Consumer Electronics
000325	Arima Computer.
000326	Iwasaki Information Systems
000327	ACT'L
000328	Mace Group
000329	F3
00032A	UniData Communication Systems
00032B	GAI Datenfunksysteme
00032C	ABB Switzerland
00032D	IBASE Technology
00032E	Scope Information Management
00032F	Global Sun Technology
000330	Imagenics
000331	Cisco Systems
000332	Cisco Systems
000333	Digitel
000334	Newport Electronics
000335	Mirae Technology
000336	Zetes Technologies
000337	Vaone
000338	Oak Technology
000339	Eurologic Systems
00033A	Silicon Wave
00033B	TAMI Tech
00033C	Daiden
00033D	ILSHin Lab
00033E	Tateyama System Laboratory
00033F	BigBand Networks
000340	Floware Wireless Systems
000341	Axon Digital Design
000342	Nortel Networks
000343	Martin Professional A/S
000344	Tietech.Co.
000345	Routrek Networks 
000346	Hitachi Kokusai Electric
000347	Intel 
000348	Norscan Instruments
000349	Vidicode Datacommunicatie B.V.
00034A	RIAS 
00034B	Nortel Networks
00034C	Shanghai DigiVision Technology
00034D	Chiaro Networks
00034E	Pos Data Company
00034F	Sur-Gard Security
000350	Bticino SPA
000351	Diebold
000352	Colubris Networks
000353	Mitac
000354	Fiber Logic Communications
000355	TeraBeam Internet Systems
000356	Wincor Nixdorf International
000357	Intervoice-Brite
000358	Hanyang DigitechLtd
000359	DigitalSis
00035A	Photron Limited
00035B	BridgeWave Communications
00035C	Saint Song.
00035D	Bosung Hi-Net
00035E	Metropolitan Area Networks
00035F	Pr?ftechnik Condition Monitoring & KG
000360	PAC Interactive Technology
000361	Widcomm
000362	Vodtel Communications
000363	Miraesys
000364	Scenix Semiconductor
000365	Kira Information & Communications
000366	ASM Pacific Technology
000367	Jasmine Networks
000368	Embedone
000369	Nippon Antenna
00036A	Mainnet
00036B	Cisco Systems
00036C	Cisco Systems
00036D	Runtop
00036E	Nicon Systems (Pty) Limited
00036F	Telsey SPA
000370	NXTV
000371	Acomz Networks.
000372	Ulan
000373	Aselsan A.S
000374	Control Microsystems
000375	NetMedia
000376	Graphtec Technology
000377	Gigabit Wireless
000378	HUMAX
000379	Proscend Communications
00037A	Taiyo Yuden
00037B	IDEC IZUMI 
00037C	Coax Media
00037D	Stellcom
00037E	PORTech Communications
00037F	Atheros Communications
000380	SSH Communications Security.
000381	Ingenico International
000382	A-One
000383	Metera Networks
000384	Aeta
000385	Actelis Networks
000386	Ho Net
000387	Blaze Network Products
000388	Fastfame Technology
000389	Plantronics
00038A	America Online
00038B	PLUS-ONE I&T
00038C	Total Impact
00038D	PCS Revenue Control Systems
00038E	Atoga Systems
00038F	Weinschel 
000390	Digital Video Communications
000391	Advanced Digital Broadcast
000392	Hyundai Teletek
000393	Apple
000394	Connect One
000395	California Amplifier
000396	EZ Cast
000397	FireBrick Limited
000398	Wisi
000399	Dongju Informations & Communications
00039A	SiConnect
00039B	NetChip Technology
00039C	OptiMight Communications
00039D	Qisda 
00039E	Tera System
00039F	Cisco Systems
0003A0	Cisco Systems
0003A1	HIPER Information & Communication
0003A2	Catapult Communications
0003A3	MAVIX
0003A4	Imation.
0003A5	Medea 
0003A6	Traxit Technology
0003A7	Unixtar Technology
0003A8	IDOT Computers
0003A9	AXCENT Media AG
0003AA	Watlow
0003AB	Bridge Information Systems
0003AC	Fronius Schweissmaschinen
0003AD	Emerson Energy Systems AB
0003AE	Allied Advanced Manufacturing Pte
0003AF	Paragea Communications
0003B0	Xsense Technology.
0003B1	Hospira
0003B2	Radware
0003B3	IA Link Systems
0003B4	Macrotek International.
0003B5	Entra Technology
0003B6	QSI 
0003B7	ZACCESS Systems
0003B8	NetKit SolutionsLLC
0003B9	Hualong Telecom
0003BA	Oracle 
0003BB	Signal Communications Limited
0003BC	CoT
0003BD	OmniCluster Technologies
0003BE	Netility
0003BF	Centerpoint Broadband Technologies
0003C0	RFTNC
0003C1	Packet Dynamics
0003C2	Solphone K.K.
0003C3	Micronik Multimedia
0003C4	Tomra Systems ASA
0003C5	Mobotix AG
0003C6	ICUE Systems
0003C7	hopf Elektronik
0003C8	CML Emergency Services
0003C9	TECOM
0003CA	MTS Systems.
0003CB	Nippon Systems Development
0003CC	Momentum Computer
0003CD	Clovertech
0003CE	ETEN Technologies
0003CF	Muxcom
0003D0	KOANKEISO
0003D1	Takaya 
0003D2	Crossbeam Systems
0003D3	Internet Energy Systems
0003D4	Alloptic
0003D5	Advanced Communications
0003D6	RADVision
0003D7	NextNet Wireless
0003D8	iMPath Networks
0003D9	Secheron SA
0003DA	Takamisawa Cybernetics
0003DB	Apogee Electronics.
0003DC	Lexar Media
0003DD	Comark Interactive Solutions
0003DE	OTC Wireless
0003DF	Desana Systems
0003E0	ARRIS Group
0003E1	Winmate Communication
0003E2	Comspace 
0003E3	Cisco Systems
0003E4	Cisco Systems
0003E5	Hermstedt SG
0003E6	Entone
0003E7	Logostek
0003E8	Wavelength Digital Limited
0003E9	Akara Canada
0003EA	Mega System Technologies
0003EB	Atrica
0003EC	ICG Research
0003ED	Shinkawa Electric
0003EE	MKNet 
0003EF	Oneline AG
0003F0	Redfern Broadband Networks
0003F1	Cicada Semiconductor
0003F2	Seneca Networks
0003F3	Dazzle Multimedia
0003F4	NetBurner
0003F5	Chip2Chip
0003F6	Allegro Networks
0003F7	Plast-Control
0003F8	SanCastle Technologies
0003F9	Pleiades Communications
0003FA	TiMetra Networks
0003FB	ENEGATE
0003FC	Intertex Data AB
0003FD	Cisco Systems
0003FE	Cisco Systems
0003FF	Microsoft 
000400	Lexmark International
000401	Osaki Electric
000402	Nexsan Technologies
000403	Nexsi 
000404	Makino Milling Machine
000405	ACN Technologies
000406	Fa. Metabox AG
000407	Topcon Positioning Systems
000408	Sanko Electronics
000409	Cratos Networks
00040A	Sage Systems
00040B	3Com Europe
00040C	Kanno Works
00040D	Avaya Inc
00040E	AVM
00040F	Asus Network Technologies
000410	Spinnaker Networks
000411	Inkra Networks
000412	WaveSmith Networks
000413	snom technology
000414	Umezawa Musen Denki
000415	Rasteme Systems
000416	Parks S/A Comunicacoes Digitais
000417	Elau AG
000418	Teltronic S.A.U.
000419	Fibercycle Networks
00041A	Ines Test and Measurement & CoKG
00041B	Bridgeworks
00041C	ipDialog
00041D	Corega Of America
00041E	Shikoku Instrumentation
00041F	Sony Interactive Entertainment
000420	Slim Devices
000421	Ocular Networks
000422	Studio TechnologiesInc
000423	Intel 
000424	TMC s.r.l.
000425	Atmel 
000426	Autosys
000427	Cisco Systems
000428	Cisco Systems
000429	Pixord 
00042A	Wireless Networks
00042B	IT Access
00042C	Minet
00042D	Sarian Systems
00042E	Netous Technologies
00042F	International Communications Products
000430	Netgem
000431	GlobalStreams
000432	Voyetra Turtle Beach
000433	Cyberboard A/S
000434	Accelent Systems
000435	InfiNet LLC
000436	ELANsat Technologies
000437	Powin Information Technology
000438	Nortel Networks
000439	Rosco Entertainment Technology
00043A	Intelligent Telecommunications
00043B	Lava Computer Mfg.
00043C	SONOS
00043D	Indel AG
00043E	Telencomm
00043F	ESTeem Wireless ModemsInc
000440	cyberPIXIE
000441	Half Dome Systems
000442	Nact
000443	Agilent Technologies
000444	Western Multiplex 
000445	LMS Skalar Instruments
000446	CYZENTECH
000447	Acrowave Systems
000448	Polaroid 
000449	Mapletree Networks
00044A	iPolicy Networks
00044B	Nvidia
00044C	Jenoptik
00044D	Cisco Systems
00044E	Cisco Systems
00044F	Schubert System Elektronik
000450	DMD Computers SRL
000451	Medrad
000452	RocketLogix
000453	YottaYotta
000454	Quadriga UK
000455	ANTARA.net
000456	Cambium Networks Limited
000457	Universal Access Technology
000458	Fusion X
000459	Veristar 
00045A	The Linksys Group
00045B	Techsan Electronics
00045C	Mobiwave Pte
00045D	BEKA Elektronik
00045E	PolyTrax Information Technology AG
00045F	Avalue Technology
000460	Knilink Technology
000461	EPOX Computer
000462	DAKOS Data & Communication
000463	Bosch Security Systems
000464	Pulse-Link Inc
000465	i.s.t isdn-support technik
000466	ARMITEL
000467	Wuhan Research Institute Of MII
000468	Vivity
000469	Innocom
00046A	Navini Networks
00046B	Palm Wireless
